Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
06/13/23,"Payday loan, title loan, or personal loan",Installment loan,Problem with additional add-on products or services,None,"Id ask Ally lending to send me a copy of the loan application they put in a request for the application according to Ally lending, that would take 7 to 10 days according to them when I got in touch with them after the 10 days they said that they didnt have that information",Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,NY,11102,None,Consent provided,Web,06/13/23,Closed with explanation,Yes,N/A,7102877
06/28/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,"The house I own needed a roof. The roofing company used a financing company called Foundation Financial. My sister lives in my house and she was unable to qualify for the loan on her own so I co-signed for her. I reviewed all of the paperwork and signed. She has been making all of the payments but after several months of making the payments, the loan has not gone down at all. I asked her what the interest rate was. She could not find it on the bill. So I looked at the original paperwork to see if the interest rate was disclosed- it was not included in the original paperwork. I signed into our account online and looked at everything online. There was nothing about the interest rate. All of the statements did not disclose the interest rate. The original paperwork was not available on the online account. There is a XXXX filing against my house for this loan but there is nothing specific about the loan either. My sister called the company and asked why the loan balance was not going down. They indicated that is was being applied to the interest which is charged daily. She asked what the interest was. They said it is 9.9 %. She asked if it is 9.9 % daily and they said no you have to take 9.9 and divide it by 365. That is all the information that is provided. We have no way of knowing what portion is paid/ has been paid to interest vs principal. This feels deceptive and not what we agreed to.",None,Garrison Investment Group,MI,492XX,None,Consent provided,Web,06/28/23,Closed with explanation,Yes,N/A,7179561
06/28/23,"Payday loan, title loan, or personal loan",Personal line of credit,Problem when making payments,None,"I didn't make my payment on purpose because I was waiting on a deposit. My payment was due on the XXXX. On the the morning of the XXXX I woke up checked my account to see if the deposit had hit my account only to find out that advanced financial had submitted a ACH payment of XXXX which overdrawn my account. Later that night on the XXXX my deposit went in to my account and the payment was paid. Back in XXXX of 2023 or it could have been XXXX of 2023 I discussed over the phone I did not wish to have automatic payments anymore which was confirmed today on the XXXX it was in fact noted no ACH or Debit card auto pay. I like making my payments manually. This company not only has predatory lending, practices, to this day I have NEVER received a truth in lending document. Nor have they closed the account which I have asked them to do. Also I want them to lower the interest rate on this line of credit. Had I known the rate I would never had taken this line of credit. I did ask on many occasions and had ask on many of occasions to provide me with a Truth and Lemding Statement. All I was told was what my biweekly payment would be. Now I see that they charging me something in the rate of XXXX percent. This company needs to be shutdown, the violate many lending laws one being TILA. This company has been sued many times over and as I had done research they having many more pending lawsuits in the courts pending waiting to be heard. Hopefully they are being investigated by the CFPB like you did to XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX  and many others. This company is far worst then any of the ones listed above. I'm not trying to not pay them back. I just want them to be responsible on their lending practices. I will pay my bill as I do. They did something to me was unfair. I work for a large financial institution. These practices that the CFBP is allowing of this company is insane. I know I'm not the only person with now 2 complaints about there lending practices. I want my account with them closed immediately stating on my credit report as closed by the consumer, interest rate reduced so I can get them paid off completely, and show as all my payments on time. One other thing on my transaction it show that they submitted the ACH payment as retry. I never submitted a payment on the XXXX so how can they state it was was a retry. I withheld paying that payment until the funds were in my account. Unbelievable. In my own thinking they did this for malicious reasons to act like I had a payment return. The girl today even stated my account is current. I want resolution immediately..",None,"Harpeth Financial Services, LLC",AZ,85120,None,Consent provided,Web,06/28/23,Closed with explanation,No,N/A,7179709
03/10/23,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,None,"This lender is in a class action suit because its a predatory loan with 7000 % interest. 



IN THE UNITED STATES DISTRICT COURT FOR THE NORTHERN DISTRICT OF ILLINOIS EASTERN DIVISION MATTHEW HALL, ) on behalf of Plaintiff and the class ) members described herein, ) ) Plaintiff, ) ) v. ) ) MINTO DEVELOPMENT ) CORPORATION ; ) BENHTI ECONOMIC ) DEVELOPMENT CORPORATION ; ) XXXX XXXX XXXX ; ) MINTO FINANCIAL d/b/a Minto Money ; ) and JOHN DOES 1-20, ) ) Defendants. ) COMPLAINT CLASS ACTION INTRODUCTION 1. Plaintiff, XXXX XXXX, brings this action to secure redress against the making of usurious loans to Plaintiff ( Exhibit A ) and other Illinois residents by Defendants Minto Development XXXX ( XXXX ), XXXX XXXX XXXX XXXX ( XXXX ), XXXX XXXX XXXX ( XXXX ), Minto Financial d/b/a Minto Money ( Minto Money ), and XXXXXXXX XXXX XXXXXXXX. 
2. Plaintiff seeks a declaratory judgment that the loans are void and an injunction against their collection ( Count I ), damages pursuant to the Illinois Interest Act, 815 ILCS 205/6 ( Count II ), damages and injunctive and declaratory relief pursuant to the Illinois Predatory Loan Prevention Act, 815 ILCS 123/15-1-1 et seq., and the Illinois Consumer Fraud Act, 815 ILCS 505/1 et seq. ( Count III the Predatory Loan Prevention Act provides that violations are a violation of the Illinois Consumer Fraud Act ), and treble damages under RICO ( Count IV ).

-1- C",None,Minto Financial dba Minto Money,IL,60620,Servicemember,Consent provided,Web,03/10/23,Closed with explanation,Yes,N/A,6678130
05/06/23,"Payday loan, title loan, or personal loan",Personal line of credit,Getting a line of credit,None,"I the consumer applied XX/XX/2020 for a loan through Avant XXXX XXXX and was unlawfully denied after I filled out a application ( negotiable instrument ) with signature. I have taken all the necessary steps to ensure that my credit profile remains in good standing. Therefore, I believe that the adverse action taken against my application is in violation of the relevant regulations. I will attach my Adverse Action letter and proof of said violations.",None,"Avant Holding Company, Inc.",NY,146XX,None,Consent provided,Web,05/06/23,Closed with explanation,Yes,N/A,6937721
05/11/23,"Payday loan, title loan, or personal loan",Personal line of credit,Problem with the payoff process at the end of the loan,None,"Entered into agreement to purchase hearing aids for my husband.  At time of purchase I was offered interest free for 1yr. First payment was in the amount of {$100.00}. I paid {$150.00} for the next 11months. Those dates were from XX/XX/XXXX to XX/XX/XXXX. Total amt pd at this point was {$1600.00}. I then sent them on XX/XX/XXXX another {$150.00}, I sent another {$150.00} XX/XX/XXXX, I then called to get the final payment amt. to close this acct. I was informed that I needed to pay {$540.00} for bk interest as the free interest was only offered for 11 m.I immediately over the phone gave them my debit card to pay the {$540.00} to satisfy this loan. 13 months later I am receiving a bill in the amt of {$100.00}. I have sent letters, I have called them numerous times. At this time my original contract was in the amt of {$2000.00}. As of this writing I have pd Synchrony Bank formerly known as Allegro Credit {$2400.00}. As of this writing I feel they owe me {$400.00}. They have been harassing me by phone at least by 57 calls. I have written to them only to receive nothing in return.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,SC,29466,"Older American, Servicemember",Consent provided,Web,05/11/23,Closed with explanation,Yes,N/A,6967224
06/05/23,"Payday loan, title loan, or personal loan",Payday loan,Improper use of your report,Reporting company used your report improperly,"I am writing to bring to your attention a serious violation of my consumer rights by BMG MONEY INC. I have recently discovered that BMG MONEY INC have reported a late payment on the above account number to the consumer report without my consent. This has had a negative impact on my credit score and has caused me great inconvenience. This is a clear violation of several laws that protect my privacy and financial information, including 15 USC 6802, 15 USC 6802A, 15 USC 6801, 15 USC 1681 and Privacy Act. Under these laws, financial institutions are required to obtain explicit consent from their customers before sharing any personal or financial information with third parties, such as credit reporting agencies. By reporting a late payment on my consumer report without my consent, your institution has violated my right to privacy and control over my personal information. Furthermore, I have reason to believe that BMG MONEY INC has also violated my privacy rights by reporting my personal information to third-party credit reporting agencies such as XXXX, XXXX, and XXXX without my explicit consent. As a customer of BMG MONEY INC, I have the right to be notified of any negative information that is being reported to credit reporting agencies. I also have the right to control the dissemination of my personal information and to ensure that it is only shared with authorized parties. 

I demand that BMG MONEY INC rectify this issue immediately by removing the alleged late payment from my consumer report within 5 days upon receipt of this notice and providing me with a written explanation of the steps you have taken to address this issue. I urge you to take immediate action to rectify this issue and ensure that your institution follows all applicable laws and regulations. Thank you for your attention to this matter.",Company believes it acted appropriately as authorized by contract or law,"EGL US, LLC",FL,33161,None,Consent provided,Web,06/05/23,Closed with explanation,Yes,N/A,7074453
02/23/23,"Payday loan, title loan, or personal loan",Title loan,Problem with the payoff process at the end of the loan,None,"Credit Acceptance is refusing to provide me with the title to a car in which the debt is covered. According to Fair Debt Collection Practices Act ( FDCPA ) ( 15 U.S.C. 1692 et seq ) companies such as Credit Acceptance is participating in unfair debt collection practices. The Dodd-Frank Act granted rulemaking authority under the FDCPA to the consumer Financial Protection Bureau and , with respect to entities under its jurisdiction, granted authority to the CFBP to supervise for and enforce compliance with the FDCPA.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,CREDIT ACCEPTANCE CORPORATION,MI,48180,None,Consent provided,Web,02/24/23,Closed with explanation,Yes,N/A,6606823
03/25/23,"Payday loan, title loan, or personal loan",Installment loan,Problem with the payoff process at the end of the loan,None,"My account number with them is XXXX I applied for a loan to the sum of {$930.00} for a firearm accessory purchase online. The term was 12 months, at {$93.00} a month. 

In XXXX of 2022 I called and requested to pay off the remaining balance and made a lump sum payment if {$580.00}. 

In late XXXX I discovered they still held a balance on the account and had future charges I still owed. 

Between then and now I have called multiple times to resolve this matter. When I talked to a representative they said that what happened was the representative I talked to in XXXX failed to create a payoff process when I requested to payoff the loan. I would need to speak to the billing department over this issue. 

The billing department will not return my calls. I've called and emailed numerous times. My last conversation was a week ago in which I used their chat system to talk to a rep about this issue. They assured me that not only would they reach out to billing, a supervisor would call me back. 

I have not heard back. 

They refuse to address this issue.",None,Credova Holdings Inc,PA,18018,None,Consent provided,Web,03/25/23,Closed with explanation,Yes,N/A,6749395
03/05/23,"Payday loan, title loan, or personal loan",Installment loan,Charged fees or interest you didn't expect,None,We had a hardship and got the loan for XXXX and wasn't informed of interest rate until after it went through. By the time we make the payments we will have been charged around XXXX the interest rate was above XXXX is what im seeing now,None,Post Lake Lending Inc.,OH,44805,None,Consent provided,Web,03/05/23,Closed with explanation,Yes,N/A,6646804
06/13/23,"Payday loan, title loan, or personal loan",Title loan,Loan payment wasn't credited to your account,None,On XXXX XXXX I went got a personal loan to pay off my car. Well on XXXX XXXX the check was cashed but Westlake said the check did not have proper documentation with it. So they had no where to apply the funds. On XXXX XXXX they came to repossess the car. Had already had the funds but did not apply the credits to my account. Well after calling and calling and then hanging up the phone. I got to speak with the lady that gave me the pay off amount. Again she stated the documents were incorrect and repossession was accurate. is not fair as a loyal customer to Westlake for years for them to take my money and want me to pay more. I feel Westlake owes me back for their mistake. I lost work for a few days and had to come up with extra money to get the car back after them cashing the check for the amount they said was owed. Please help me,None,"Westlake Services, LLC",VA,22485,None,Consent provided,Web,06/13/23,Closed with explanation,Yes,N/A,7108019
02/07/23,"Payday loan, title loan, or personal loan",Installment loan,Problem when making payments,None,"Moneylion continually fails to credit my payments when they are received. This has occurred month after month. Currently they are in possession of my most recent payment, received by moneylion on or before XX/XX/2023, cashed by moneylion on XX/XX/2023, and has yet to be credited to my account. I have asked multiple times for multiple months for moneylion to correct this issue and they refuse to remedy. This has resulted in hours of my time, all to get them to do what is required by this protection bureau.",Company believes complaint represents an opportunity for improvement to better serve consumers,MoneyLion Inc.,CA,92618,None,Consent provided,Web,02/07/23,Closed with non-monetary relief,Yes,N/A,6541302
06/27/23,"Payday loan, title loan, or personal loan",Installment loan,Incorrect information on your report,Account information incorrect,I had a court ordered wage garnishment that was effective XXXX XXXX and the last payment was garnished in XX/XX/XXXX. My wages were garnished biweekly yet the loan company never reported a single payment to either of the the credit bureaus. Submitted documentation from XXXX showing the wage garnishment order was paid in full. Every single month these people never reported a payment which showed my payments were late or never received.,None,"BATON ROUGE FINANCIAL SERVICES, L.L.C.",LA,70815,None,Consent provided,Web,06/27/23,Closed with explanation,Yes,N/A,7176376
01/24/23,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,None,"I received loan document from ace under item number XXXX dated XX/XX/XXXX stating past due amount due XXXX Break down listed as, principle XXXX, interest XXXX and fees XXXX last payment amount XXXX on XX/XX/XXXX from loan dated XX/XX/XXXX. 

I only borrowed XXXX with XXXX taken biweekly. I have almost paid back loan amount principal and now they are stating i owe them an additional XXXX?? Additionally as you can see from last payment date this is harassment. They also harass my phone. Im not sure whats going on. I would not have signed up for this or anything where my payback would exceed {$6200.00} on a {$2000.00} loan i took out a month and a hald ago. I dont understand this or the fees. This seems illegal.",None,"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",TX,75070,None,Consent provided,Web,01/24/23,Closed with explanation,Yes,N/A,6473412
06/12/23,"Payday loan, title loan, or personal loan",Payday loan,Charged fees or interest you didn't expect,None,"On XX/XX/XXXX, I sign up for a personal loan with sail loans. I needed the loan to help me move to my new apartment. I originally contacted the XXXX office but I was redirected to the XXXX, IL XXXX. I told the lady on the phone can she see if I can get approve the maximum of XXXX ( a comfortable number I know I can pay back ). They lady on the phone told me, she will have to call me back to see what I can get approve of. When she called me back she said, "" unfortuantely, you were only approve for XXXX '', I then said, "" Oh, so I got approve for XXXX, that's fine ''. She went on to tell me, "" You do not get the full loan only a small portion which will be XXXX until I pay off the full loan and the rest will be deposited into my account after the loan is paid off ''. She also mentioned "" starting XX/XX/XXXX you will have to pay XXXX every two weeks for 26 weeks ''. Me thinking nothing of it and was currently driving I said okay. Today as of XX/XX/XXXX I decided to log into my account and see they had approve me for a loan of XXXX ( this is not what she told me on the phone ) and when I calculated XXXX by 26 weeks, the total is XXXX. I would never agree or accepted the loan if the woman on the phone told me the actual loan I was approve for ( XXXX instead XXXX ). As of today, I also called their corporate office and was told they will send an email to district supervisor and will call back before the end of the day. I don't think they will help me whatsoever.",None,AmeriCash Holding LLC,IL,60644,None,Consent provided,Web,06/12/23,Closed with non-monetary relief,Yes,N/A,7106983
04/20/23,"Payday loan, title loan, or personal loan",Title loan,Vehicle was repossessed or sold the vehicle,None,"I am writing to file a complaint against Wheels XXXX Financial and their Director of Compliance, XXXX XXXX. My rights have been violated due to their harassing and abusive debt collection practices. 

XXXX XXXX has repeatedly called me at all hours of the night, despite the fact that debt collectors are not allowed to call debtors before XXXX XXXX. or after XXXX XXXX. in California without my permission. His calls have been threatening and harassing, and he has increased my balance significantly. The harassment has increased since filing my previous CFPB complaint. This complaint was filed due to balance discrepancies. As you can see, theres a lot of animosity and a significant increase. {$11000.00} increase from a {$2500.00} loan, with the vehicle reposed and never credited. In addition, many other factors were ignored such as my attempts to email the company for relief during COvID. In addition, the company allowed additional fees to incur by not providing the tow yard a key upon their request, resulting in the locks being cut from the door. The lack of response from LoanMart was a financial charge to me although both myself and XXXX XXXX XXXX confirmed she tried reaching the company. 

I have picture evidence and an email from XXXX XXXX in which he implies that I have no association with the XXXX XXXX as a member, and attempts to intimidate me. I believe this is a violation of my consumer rights, and I am deeply troubled by the behavior of XXXX XXXX and Wheels XXXX Financial. 

I request that CFPB investigate this matter and take appropriate action against Wheels XXXX Financial and XXXX XXXX. I also request that my consumer rights be protected, and that I be compensated for any damages or losses I have suffered as a result of their actions. 
Thank you for your attention to this matter.",Company believes it acted appropriately as authorized by contract or law,"WHEELS FINANCIAL GROUP, LLC.",CA,XXXXX,None,Consent provided,Web,04/21/23,Closed with explanation,Yes,N/A,6866882
